,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories
147,4qBaJwV3IRsb4AGjV5O1Jg,Ace Carpet Cleaning,"150 S Camino Seco, Ste 110",Tucson,AZ,85710.0,32.21798755,-110.8073346,5.0,7,0,{'BusinessAcceptsCreditCards': 'True'},"Home Services, Home Cleaning, Carpet Cleaning, Local Services"
150,PwzfqurfUG7DKqQlp-1rsg,Arte de la Vida,37 N Tucson Blvd,Tucson,AZ,85716.0,32.222157,-110.935525,5.0,6,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsBitcoin': 'False', 'GoodForKids': 'False', 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'WiFi': ""u'no'""}","Antiques, Shopping, Arts & Entertainment, Art Galleries"
152,g7fczpUxtVVQ_bGmqnY7oQ,Autoglass Distributors,507 W Ajo Way,Tucson,AZ,85713.0,32.1775378,-110.9764835,5.0,5,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}","Windshield Installation & Repair, Auto Glass Services, Automotive"
157,Xum0rTPsBZ81VtaP_1CMuQ,Patio Connection,3210 N Oracle Rd,Tucson,AZ,85705.0,32.266034,-110.9769965,5.0,11,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '3', 'BikeParking': 'True', 'ByAppointmentOnly': 'False'}","Home & Garden, Wholesale Stores, Masonry/Concrete, Lighting Fixtures & Equipment, Home Services, Home Decor, Outdoor Furniture Stores, Shopping, Antiques, Furniture Stores"
159,VMWg_Hq-H1CRbClqL-CUlg,Tucson Biofeedback,"4400 E Broadway Blvd, Ste 809",Tucson,AZ,85711.0,32.221004,-110.898197,5.0,6,1,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'AcceptsInsurance': 'False'}","Reiki, Counseling & Mental Health, Nutritionists, Health Coach, Professional Services, Life Coach, Health & Medical"
175,xFc_FBt5j-ljp7JpkocV5w,Cashbox Jewelry & Pawn,3944 E Grant Rd,Tucson,AZ,85712.0,32.250276,-110.9078862,5.0,9,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Pawn Shops, Shopping, Jewelry"
176,coeSVi4m-2g0p2N3SFpvrg,"Kevin M Schmidtke, DDS - Schmidtke Dentistry",7476 N La Cholla Blvd,Tucson,AZ,85741.0,32.34261,-111.012326,5.0,5,1,"{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True'}","Health & Medical, Dentists, General Dentistry, Endodontists, Orthodontists"
180,H9oAwtXzutWye8RBCp2K-w,Art's Pit Stop,5656 E Speedway Blvd,Tucson,AZ,85712.0,32.2357752,-110.8713343,5.0,49,1,{'BusinessAcceptsCreditCards': 'True'},"Automotive, Auto Repair, Transmission Repair"
213,iam4_Q-Vf-n4x_b2Wn9pcQ,Boss Shears,"426 E 7th St, Ste B",Tucson,AZ,85705.0,32.22636593,-110.9645064,5.0,20,1,"{'GoodForKids': 'True', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Hair Salons, Barbers, Beauty & Spas"
220,3AjE3ncLXaLz26_hAC0Xrg,RF III Tucson Painting Contractors,3139 E Flower St,Tucson,AZ,85716.0,32.2543068,-110.9255784,5.0,5,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}","Home Services, Painters"
224,I2YK4khqKO97B80YEaE44Q,Riverside Suites,1725 E Limberlost Dr,Tucson,AZ,85719.0,32.28373,-110.945215,5.0,6,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'True', 'WiFi': ""u'free'""}","Hotels, Apartments, Event Planning & Services, Hotels & Travel, Home Services, Real Estate"
232,ZP1cSaMC3nud01-fnC9TgQ,Mattress Firm Tucson East,"9484 22nd St, Ste 120",Tucson,AZ,85710.0,32.2058685,-110.7902711,5.0,6,0,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Mattresses, Furniture Stores, Shopping, Home & Garden"
240,Yftf8nmHqMwNVH-PHwEEwQ,Adobe Rose Inn,940 N Olsen Ave,Tucson,AZ,85719.0,32.233591,-110.9407666,5.0,24,1,"{'WiFi': ""u'free'""}","Hotels, Bed & Breakfast, Event Planning & Services, Hotels & Travel"
247,ozD3Qhuiy0ki6IZ7_adDUw,ZOÃ‹ Boutique,3065 N Campbell Ave,Tucson,AZ,85719.0,32.2626406,-110.944286,5.0,18,0,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Shopping, Women's Clothing, Accessories, Fashion"
248,tfbDcv1NLSZgwMapkkrFuw,Sun Tap Water Systems,245 S Plumer Ave,Tucson,AZ,85719.0,32.2078645,-110.8237058,5.0,28,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Contractors, Local Services, Plumbing, Home Services, Water Purification Services"
268,P9bVgTIERuwZ9E7YbH0mRQ,Platinum Rollas,4132 E Speedway Blvd,Tucson,AZ,85712.0,32.2358848,-110.9042937,5.0,6,1,"{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'False'}","Automotive, Auto Parts & Supplies, Tires, Wheel & Rim Repair"
274,21ENbmCcpNKgM-FjzMazmg,Eco Pest,"12112 N Rancho Vistoso Blvd, Ste 150",Oro Valley,AZ,85755.0,32.4263727,-110.9592405,5.0,6,1,{'BusinessAcceptsCreditCards': 'True'},"Local Services, Wildlife Control, Pest Control"
292,shy85KYg1-FaNp3LjS1ysQ,Blase Thomas M Orthodontist,6373 E Tanque Verde Rd,Tucson,AZ,85715.0,32.245234,-110.856378,5.0,7,1,{'ByAppointmentOnly': 'True'},"Dentists, Orthodontists, Health & Medical"
299,h0qyeTWCGCGZ-cju_vIZhA,Ancient Therapies Wellness Spa,2452 North Pantano Rd,Tucson,AZ,85715.0,32.2524062,-110.8230133,5.0,5,1,"{'BusinessAcceptsBitcoin': 'False', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'AcceptsInsurance': 'False', 'WiFi': ""u'free'""}","Medical Spas, Beauty & Spas, Herbal Shops, Health & Medical, Saunas, Hydrotherapy, Colonics, Alternative Medicine"
300,eYRJ_JHHQJ_jSoHLMDoNXw,Small Planet Bakery,411 N 7th Ave,Tucson,AZ,85705.0,32.226736,-110.970416,5.0,7,0,"{'BusinessAcceptsCreditCards': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'False', 'BikeParking': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Bakeries, Food, Restaurants"
301,8hRqnH20pOvJmaEyQk_2gQ,Shark Reef,923 W Prince Rd,Tucson,AZ,85705.0,32.2714984,-110.9875225,5.0,5,1,{'BusinessAcceptsCreditCards': 'True'},"Pets, Pet Services, Active Life, Pet Stores, Aquariums, Local Fish Stores, Zoos"
313,mg1wmGkaIF3l8nS0bpWuug,Sleek,"1683 W Grant, Ste 104",Tucson,AZ,85745.0,32.25014487,-111.000912,5.0,8,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '3', 'ByAppointmentOnly': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'free'""}","Nail Salons, Massage, Hair Salons, Beauty & Spas"
314,oA09aW-mLWc-IN5hxtNU5w,Canyon Del Oro Barber Shop,7864 N Oracle Rd,Tucson,AZ,85704.0,32.3493749,-110.9739482,5.0,49,1,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'False', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'quiet'"", 'WiFi': ""u'free'"", 'ByAppointmentOnly': 'False'}","Barbers, Beauty & Spas"
317,yVc5LFrDJXzbfw5GTTC7EQ,Chris Pendleton & Shannan Marty Team at Tierra Antigua Realty,"1650 E River Rd, Ste 202",Tucson,AZ,85718.0,32.2884192,-110.9474503,5.0,11,1,"{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'False'}","Real Estate Agents, Real Estate, Home Services"
333,YKjXa9oj9qDOuTDYiv8X9g,OR LOCKSMITH,2550 East River Rd,Tucson,AZ,85718.0,32.2836923,-110.933708,5.0,6,1,"{'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True'}","Home Services, Keys & Locksmiths"
352,R07Bzbn3APSMsk_2Ocgrsw,The Vape Zone Smokeless,"9420 E Golf Links Rd, Ste 110",Tucson,AZ,85730.0,32.19076587,-110.7918191,5.0,25,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'DogsAllowed': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'False', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Shopping, Tobacco Shops, Vape Shops"
353,HNtAgJtIod1JvcMnpBWecA,Daisy Diamonds,4400 E Broadway Blvd,Tucson,AZ,85711.0,32.2209684,-110.8981805,5.0,6,1,"{'GoodForKids': 'True', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True'}","Hair Salons, Hair Extensions, Beauty & Spas, Hair Stylists, Blow Dry/Out Services"
361,HrqOqWv0RER-ruX5xMip2w,Morning Star Traders,2029 E14th St,Tucson,AZ,85719.0,32.21757207,-110.9414894,5.0,12,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'False', 'RestaurantsPriceRange2': '2', 'BikeParking': 'False', 'DogsAllowed': 'False', 'ByAppointmentOnly': 'False', 'BusinessAcceptsBitcoin': 'False', 'WheelchairAccessible': 'True'}","Home & Garden, Antiques, Home Decor, Arts & Entertainment, Art Galleries, Shopping, Jewelry"
384,#NAME?,Deadwood Framing,2530 E 6th St,Tucson,AZ,85716.0,32.2278954,-110.9348565,5.0,9,1,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True'}","Shopping, Framing, Arts & Crafts, Home & Garden, Home Decor"
386,P5ZVfD5Zh6p10caFt8mptg,Machine Age Tattoo,2508 East 6th St,Tucson,AZ,85716.0,32.2276522,-110.9349464,5.0,7,1,"{'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'ByAppointmentOnly': 'True'}","Art Galleries, Professional Services, Tattoo, Beauty & Spas, Arts & Entertainment, Shopping"
388,g-kS-3nPNZLZPeR11iGl5g,ANR Massage,5403 E Pima St,Tucson,AZ,85712.0,32.2438105,-110.8776814,5.0,11,1,"{'BikeParking': 'False', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'AcceptsInsurance': 'False'}","Beauty & Spas, Health & Medical, Massage Therapy, Massage"
389,BpU_KcVoY8QGGB1mShW7PQ,Fletcher and Co,"267 S Avenida Del Convento, Bldg 7",Tucson,AZ,85745.0,32.21810833,-110.9846946,5.0,5,1,{'BusinessAcceptsCreditCards': 'True'},"Professional Services, Session Photography, Photographers, Shopping, Event Planning & Services, Arts & Entertainment, Art Galleries"
394,xpnnJp88Zt71wYHw75bVOg,Spa Daze,"6812 N Oracle Rd, Ste 100",Tucson,AZ,85704.0,32.33045923,-110.9759543,5.0,48,1,"{'WiFi': ""u'free'"", 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'AcceptsInsurance': 'False'}","Massage Therapy, Health & Medical, Professional Services, Pain Management, Life Coach, Reflexology, Doctors, Reiki"
399,1Ksx9vG_RP5_TIxPONKqow,Tucson Watch & Jewelry Repair,"5121 S Calle Santa Cruz, Ste 135",Tucson,AZ,85706.0,32.158705,-110.9897695,5.0,41,1,"{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False'}","Mobile Phone Repair, IT Services & Computer Repair, Watch Repair, Local Services, Jewelry Repair"
405,4IcywUTVISsRI6eqyRGaWQ,Alexander Automotive Detail,5952 E Speedway Blvd,Tucson,AZ,85712.0,32.2358427,-110.8654744,5.0,31,1,"{'ByAppointmentOnly': 'True', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True'}","Home Services, Automotive, Auto Glass Services, Car Window Tinting, Auto Customization, Home Window Tinting, Auto Detailing, Tires"
406,CTk8dt--a0PMU8vUu-GDqw,Dental Care On Golf Links,8975 E Golf Links Rd,Tucson,AZ,85730.0,32.1923381,-110.8014153,5.0,5,1,"{'ByAppointmentOnly': 'True', 'AcceptsInsurance': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Dentists, Endodontists, General Dentistry, Health & Medical, Cosmetic Dentists"
423,fXxqXtm7P4ehCuey2EU-Bg,American Fleet Service,621 E Alturas St,Tucson,AZ,85705.0,32.2525028,-110.9617937,5.0,10,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}","Transmission Repair, Automotive, Auto Parts & Supplies, Oil Change Stations, Commercial Truck Repair, Auto Repair, Tires"
424,ie-VvFDIPZArMRQRcDT7eA,Forward Printing,1101 S Santa Rita Ave,Tucson,AZ,85719.0,32.2078288,-110.9527592,5.0,24,1,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Event Planning & Services, Local Services, Printing Services, Screen Printing/T-Shirt Printing, Shopping, Fashion, Party & Event Planning"
425,bGK4RLi9oWbbfhXPJhFG1w,Autozone,1935 E Missouri St,Tucson,AZ,85714.0,32.1669366,-110.9427933,5.0,8,1,{'BusinessAcceptsCreditCards': 'True'},"Automotive, Auto Parts & Supplies"
433,G1Lp17Kv3j9TPLpHbb5bRQ,XO Hair N Lash,2538 E Broadway Blvd,Tucson,AZ,85716.0,32.22126676,-110.9337566,5.0,5,1,"{'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True'}","Hair Salons, Beauty & Spas, Nail Salons, Hair Stylists, Eyelash Service, Nail Technicians"
439,r6J7LYeY0xMUPCFi51ZMXA,Dog Training Mobile,"3849 E Broadway Blvd, Ste 105",Tucson,AZ,85716.0,32.22144473,-110.9099315,5.0,11,1,{'ByAppointmentOnly': 'False'},"Active Life, Dog Parks, Pet Training, Pets, Parks, Pet Sitting, Pet Services"
446,RmN4dmy7_snZsLMOWXV_UA,Salon V,"7315 N Oracle Rd, Ste 106",Tucson,AZ,85704.0,32.33896313,-110.9782092,5.0,6,1,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'True', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True'}","Hair Salons, Hair Stylists, Beauty & Spas"
462,B5R7DaWIeAlxwZT8EGeOmA,Public Storage,7990 E Tanque Verde Rd,Tucson,AZ,85749.0,32.2540575,-110.8219992,5.0,10,1,{'BusinessAcceptsCreditCards': 'True'},"Local Services, Self Storage"
465,5VAPA78R4EvTkLyydTFaQg,Definitive Massage Services,"2220 N Camino Principal, Ste C",Tucson,AZ,85715.0,32.249249,-110.8466893,5.0,5,1,"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'AcceptsInsurance': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'""}","Massage Therapy, Massage, Beauty & Spas, Health & Medical"
468,zfdytD6RrAdHQZLYfL7ORQ,VolVer Skincare,730 E Glenn St,Tucson,AZ,85719.0,32.2572368,-110.9603136,5.0,5,0,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True'}","Skin Care, Beauty & Spas"
475,KmZhhZ-2Rj4D7lQckA5JvA,Tokyo Imports,343 E Prince Rd,Tucson,AZ,85705.0,32.272323,-110.966066,5.0,7,0,{'BusinessAcceptsCreditCards': 'True'},"Auto Repair, Automotive"
490,RM8KUqpvhBP5FhGJ6Eqp3A,Blue Ice Gelato,"6878 E Sunrise Dr, Ste 140",Tucson,AZ,85750.0,32.3076791,-110.8448505,5.0,134,1,"{'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'Caters': 'False', 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'DriveThru': 'False', 'BusinessParking': ""{'garage': False, 'street': None, 'validated': False, 'lot': None, 'valet': False}"", 'RestaurantsDelivery': 'True', 'NoiseLevel': ""u'quiet'""}","Ice Cream & Frozen Yogurt, Coffee & Tea, Food, Gelato"
496,73qgTQUpEvFn-JKEDUQ-yQ,Speedway Detail Shop,5108 E Speedway Blvd,Tucson,AZ,85712.0,32.2354715,-110.883771,5.0,34,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Automotive, Auto Detailing"
500,c_OxtZJm3-McbujFyknJiA,Horn Pest Management,900 S Craycroft Rd,Tucson,AZ,85711.0,32.209767,-110.875594,5.0,5,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '1'}","Local Services, Home Services, Shopping, Pest Control, Gardeners, Contractors, Home & Garden"
501,mho-nLNu7TudB5Zhs9d3xg,Wilson Home Audio & Video,5740 E Broadway Blvd,Tucson,AZ,85711.0,32.221277,-110.8697064,5.0,5,0,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Home Services, Electronics, High Fidelity Audio Equipment, Shopping, Home Theatre Installation"
516,RcXWjfhqLQVZK0sqGP2NTA,St. Hubert's Hatchet House,908 W Prince Rd,Tucson,AZ,85705.0,32.2724654,-110.9873142,5.0,29,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Axe Throwing, Active Life"
521,8j3oTBuvNyJ00-qL-NUO7A,Kwench Juice Cafe,"7315 N Oracle Rd, Ste 108",Oro Valley,AZ,85704.0,32.339474,-110.978326,5.0,26,0,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'quiet'"", 'RestaurantsDelivery': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'Caters': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True'}","Acai Bowls, Wraps, Restaurants, Food, Juice Bars & Smoothies"
522,kiaq0pTa1rlJ-Tb64O2hlQ,The Village Salon,120 S Country Club Rd,Tucson,AZ,85716.0,32.22114169,-110.9268389,5.0,25,1,"{'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WheelchairAccessible': 'True', 'WiFi': ""u'free'""}","Beauty & Spas, Nail Salons, Skin Care, Makeup Artists, Hair Salons"
530,MnaLdPRD84Te8D0FnoCaZA,Wildcat Automotive,2050 N Oracle Rd,Tucson,AZ,85705.0,32.2467179,-110.9774994,5.0,25,1,{'BusinessAcceptsCreditCards': 'True'},"Wheel & Rim Repair, Auto Repair, Automotive, Oil Change Stations, Transmission Repair"
536,L-l1aTt6vDk1oDs95DpHoA,Aztec Transmission Services,831 W Grant Rd,Tucson,AZ,85705.0,32.249949,-110.9852418,5.0,5,1,{'BusinessAcceptsCreditCards': 'True'},"Auto Repair, Transmission Repair, Automotive"
587,4grfwtBDji5tZ7AxYCXCzQ,Diamond Lil's Vintage & Gifts,"2201 E River Rd, Ste 2",Tucson,AZ,85718.0,32.2870182,-110.9384158,5.0,8,1,"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Local Flavor, Shopping, Used, Vintage & Consignment, Fashion"
592,RUzuCYgqEv93BSUfkAhMiA,Rincon Air-Conditioning & Heating,4810 E Speedway Blvd,Tucson,AZ,85712.0,32.2358874,-110.8900887,5.0,7,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Heating & Air Conditioning/HVAC, Home Services"
609,ieTkugkUIuDpyopUGi29Dg,Om Yoga,5961 N Oracle Rd,Tucson,AZ,85704.0,32.3153532,-110.9776974,5.0,22,1,"{'GoodForKids': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'WheelchairAccessible': 'True'}","Yoga, Active Life, Fitness & Instruction"
621,3ibRBcaQTxh6kAPAF4xf_g,Mollify Hair Studio,"7090 N Oracle Rd, Ste 80",Tucson,AZ,85704.0,32.33511394,-110.976218,5.0,5,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False', 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'True'}","Beauty & Spas, Hair Salons"
