,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories
46,BeoltbGxYneBCWGS5_0FSg,Los Betos Mexican Food,3760 S Palo Verde Rd,Tucson,AZ,85713.0,32.1789329,-110.9183912,3.0,20,1,"{'BikeParking': 'True', 'Caters': 'False', 'OutdoorSeating': 'False', 'Alcohol': ""'none'"", 'WiFi': ""'no'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'quiet'"", 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'True'}","Mexican, Restaurants"
50,glb3kBNiK2dF4ttYxaPS8g,ManorCare Health Services-Tucson,3705 N Swan Rd,Tucson,AZ,85718.0,32.2744086,-110.8941447,1.0,5,0,{'ByAppointmentOnly': 'False'},"Health & Medical, Physical Therapy, Retirement Homes, Rehabilitation Center, Doctors"
60,EUOeTTcEzDnoH9XQAgjCLQ,Carmella's Kitchen,B Concourse,Tucson,AZ,85756.0,32.0787726,-110.9268201,1.5,22,1,"{'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'False', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'False', 'GoodForKids': 'True', 'Alcohol': ""'beer_and_wine'"", 'RestaurantsDelivery': 'False', 'Caters': 'False', 'HasTV': 'True'}","Delis, Restaurants, Pizza, Food"
61,nPKZDWrQxkNU8TYjEicgfw,Auto Spa Boutique,4702 E Grant Rd,Tucson,AZ,85712.0,32.2500982,-110.89215,3.0,57,1,{'BusinessAcceptsCreditCards': 'True'},"Auto Detailing, Car Wash, Automotive"
72,sVdM9s9aLLyPywQQQg_V3g,Domain 3201,3201 W Ina Rd,Tucson,AZ,85741.0,32.3364546,-111.0344443,2.5,14,1,"{'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True'}","Real Estate, Home Services, Apartments"
73,AbdydOraLauHTmoI7YQO5Q,Tumbleweeds Gymnastics,"1859 W Grant Rd, Ste 101",Tucson,AZ,85745.0,32.2492362,-111.005897,3.0,5,0,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Fitness & Instruction, Art Schools, Trainers, Party & Event Planning, Specialty Schools, Education, Gyms, Gymnastics, Active Life, Event Planning & Services"
77,C2kdW-ruvrhgWOP9kHr9IQ,Wheel Kinetics,1909 Gardner Ln,Tucson,AZ,85705.0,32.2811189,-111.006883,2.5,21,1,{'BusinessAcceptsCreditCards': 'True'},"Car Dealers, Automotive"
80,AtUWv6p1Z90832W9DIDOWw,Tucson Appliance Company,4229 E Speedway Blvd,Tucson,AZ,85712.0,32.2364444,-110.9026006,3.0,74,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False', 'WheelchairAccessible': 'True'}","Home & Garden, Furniture Stores, Local Services, Kitchen & Bath, Kitchen Supplies, Appliances, Shopping, Appliances & Repair"
83,HJBPcATR044Dp6GDIfoUCw,A Day 'n Night Salon & Spa,3916 E Fort Lowell Rd,Tucson,AZ,85712.0,32.27367685,-110.8299126,2.5,25,0,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False'}","Beauty & Spas, Massage, Nail Salons, Hair Salons"
90,UkA-2QPg6BDzQlmR-4F_fQ,Goodwill Thrift Store and Donation Center,4082 E 22nd St,Tucson,AZ,85711.0,32.2053568,-110.9054774,3.0,9,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'WheelchairAccessible': 'True', 'DogsAllowed': 'True'}","Donation Center, Local Services, Community Service/Non-Profit, Thrift Stores, Shopping"
95,Iz5rczr7TMxKvBGI-teMXg,Cox Communications,1440 E 15th St,Tucson,AZ,85719.0,32.21565256,-110.949592,1.5,35,0,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Professional Services, Internet Service Providers, Home Services, Television Service Providers, IT Services & Computer Repair, Local Services, Telecommunications"
98,67QczBNcTAYq8alxqwiZ5g,Subway,"3605 W Cortaro Farms Rd, Ste 159",Tucson,AZ,85742.0,32.3585044,-111.044351,3.0,8,1,"{'RestaurantsPriceRange2': '1', 'Caters': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Sandwiches, Restaurants, Fast Food"
103,BBS8dH9I7MBnskmlyPZLLA,Walgreens,10405 N La Canada Dr,Oro Valley,AZ,85737.0,32.3958886,-110.9965495,3.0,14,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'DriveThru': 'True'}","Cosmetics & Beauty Supply, Convenience Stores, Beauty & Spas, Food, Photography Stores & Services, Shopping, Drugstores"
106,aMGknUqZcwYEB01x65ov3g,Cost Cutters,"990 E University Blvd, University Square",Tucson,AZ,85719.0,32.231524,-110.956976,2.5,24,1,"{'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True'}","Hair Salons, Hair Stylists, Beauty & Spas"
117,DaBATIXMTo3kqt00rCc9Tg,Risky Business,8848 E Tanque Verde Rd,Tucson,AZ,85749.0,32.257496,-110.803966,3.0,84,1,"{'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'HasTV': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'Smoking': ""u'outdoor'"", 'WiFi': ""'free'"", 'WheelchairAccessible': 'True', 'BYOB': 'False', 'CoatCheck': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'True', 'Music': ""{u'dj': False, u'live': None, u'jukebox': None, u'video': False, u'background_music': False, u'karaoke': None, u'no_music': False}""}","Sports Bars, Bars, American (Traditional), Restaurants, Nightlife"
120,iwyMYJxTnwKLKBlOiR4Z0A,Tucson Asian Eyebrow Threading,1209 W Irvington Rd,Tucson,AZ,85714.0,32.162509,-110.990228,2.5,15,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Threading Services, Beauty & Spas, Hair Removal"
131,04UWD_QOyfn-NxcQ04M0-g,Blake's Lotaburger,1600 West Valencia Rd,Tucson,AZ,85746.0,32.13435,-110.999752,2.5,71,1,"{'RestaurantsTableService': 'False', 'OutdoorSeating': 'True', 'Alcohol': ""u'none'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'loud'"", 'RestaurantsDelivery': 'True', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'DriveThru': 'True'}","Burgers, Hot Dogs, Sandwiches, Restaurants, Fast Food"
135,cF2oU5YNJoQxekznpBY1bQ,Dairy Queen,"12030 N Thornydale Rd, Ste 100",Marana,AZ,85658.0,32.425166,-111.046127,3.0,15,1,"{'DriveThru': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True'}","Food, Burgers, Ice Cream & Frozen Yogurt, Restaurants, Fast Food"
140,BWCXOZUIh1IpePqq6GtLKg,Goodwill Thrift Store and Donation Center,2907 N 1st Ave,Tucson,AZ,85719.0,32.260257,-110.9617472,3.0,22,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'True', 'RestaurantsPriceRange2': '1', 'WheelchairAccessible': 'True', 'BikeParking': 'True'}","Fashion, Local Services, Thrift Stores, Donation Center, Used, Vintage & Consignment, Community Service/Non-Profit, Shopping"
144,BdfWrBlULBZV-zLUDTfCDQ,Cupcakes,"4811 E Grant Rd, Ste 127",Tucson,AZ,85712.0,32.2517083,-110.890542,2.0,27,0,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True'}","Food, Desserts"
145,KISVq91dUQLa75m8IqY66g,Americano Mexicano,"800 E University Blvd, Ste 104",Tucson,AZ,85719.0,32.2315439,-110.959311,3.0,51,0,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'WiFi': ""u'free'"", 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': True, 'lot': True, 'valet': True}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'OutdoorSeating': 'True', 'HasTV': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsTableService': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'RestaurantsReservations': 'True', 'HappyHour': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'DogsAllowed': 'True', 'DriveThru': 'False', 'ByAppointmentOnly': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2'}","Fruits & Veggies, Mexican, Restaurants, Specialty Food, Ethnic Food, Bars, Nightlife, Cocktail Bars, Juice Bars & Smoothies, Food, Food Stands"
149,bVVAyCzS0ry_MjwofVUDTA,Mister Car Wash,730 E Broadway Blvd,Tucson,AZ,85719.0,32.2211593,-110.9600745,3.0,26,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Car Wash, Auto Detailing, Oil Change Stations, Automotive"
156,249LQCS5UI-h-dplx0_sSQ,Budget Blinds of North Tucson,7883 N Oracle Rd,Oro Valley,AZ,85704.0,32.3497295,-110.9767777,2.0,5,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}","Shades & Blinds, Home Services, Shutters"
158,onFzWveuDXbSOmq9CdBfPQ,RideNow Powersports Ina,4375 W Ina Rd,Tucson,AZ,85741.0,32.3369571,-111.0580564,2.5,35,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Automotive, Motorcycle Gear, Motorsport Vehicle Dealers, Motorsport Vehicle Repairs, Motorcycle Repair, Motorcycle Dealers, Shopping"
160,kLfkz8Rj74XB67w06iV-7Q,7-Eleven,5457 E Pima St,Tucson,AZ,85712.0,32.24385405,-110.875846,2.0,6,1,"{'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '1'}","Food, Coffee & Tea, Grocery, Convenience Stores"
163,ujTjax2hT1hYVctEf6B8_g,Carl's Jr,1691 W Valencia Rd,Tucson,AZ,85746.0,32.13339533,-111.0018632,2.5,11,1,"{'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""'none'"", 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'DriveThru': 'True'}","Restaurants, Fast Food, Burgers"
166,6a23cjyRkIvjnTy-ffHJ7Q,Brat's Bar & Grill,"5975 W Western Way Cir, Ste 106",Tucson,AZ,85713.0,32.186282,-111.091348,3.0,10,0,"{'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForKids': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'HappyHour': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'True'}","Restaurants, Bars, Nightlife, Barbeque, American (Traditional)"
169,6SirmO9WW6SC1_ROwunQ1Q,US Post Office,2100 E Speedway Blvd,Tucson,AZ,85719.0,32.23552684,-110.9407639,2.0,38,1,{'BusinessAcceptsCreditCards': 'True'},"Public Services & Government, Shipping Centers, Local Services, Post Offices"
170,QsSA6MC9-CoElSrXPDrIKA,Chipotle Mexican Grill,1202 W Irvington Rd,Tucson,AZ,85714.0,32.1639328,-110.9897341,2.5,39,1,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1'}","Fast Food, Restaurants, Mexican"
171,XvzK4xzpVPq2Tj5gPv1LlA,Motel 6,960 S Freeway Rd,Tucson,AZ,85745.0,32.2103157,-110.9805149,2.0,20,0,"{'RestaurantsPriceRange2': '1', 'WiFi': ""u'paid'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Event Planning & Services, Hotels"
177,xUJTx3TyxRNwSVclIrwKCA,Sparkle Cleaners - Sunrise,"6890 E Sunrise Dr, Ste 130",Tucson,AZ,85750.0,32.306847,-110.845773,2.5,9,1,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","Dry Cleaning & Laundry, Laundry Services, Local Services"
178,j4aGtIvf4QYWNxEm2WUVJA,Fast Lane Tattoo,1108 S Wilmot Rd,Tucson,AZ,85711.0,32.2077185,-110.8583323,2.0,10,0,"{'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False', 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Tattoo, Beauty & Spas"
179,FKLH6utiHBU67yXYsTi8Hg,Burger King,19110 S I-19 Frontage Rd,Green Valley,AZ,85614.0,31.90300031,-110.9867916,3.0,17,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'False', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'RestaurantsDelivery': 'True', 'BusinessParking': 'None', 'Ambience': 'None', 'Alcohol': ""u'none'"", 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'RestaurantsTakeOut': 'False', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'None'}","Fast Food, Restaurants, Burgers"
182,ngbV-gevFxBVVrOUg1JsJA,JOANN Fabrics and Crafts,"4380 N Oracle Rd, Ste 150",Tucson,AZ,85705.0,32.2855914,-110.9747868,2.5,22,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Fabric Stores, Arts & Crafts, Art Supplies, Home Decor, Shopping, Home & Garden"
183,bfLmzEJ5TiI1pAr5uyEoKQ,Forever 21,"5870 E Broadway Blvd, Ste 518",Tucson,AZ,85711.0,32.2182115,-110.8659538,1.5,7,1,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Shopping, Women's Clothing, Fashion, Accessories"
